Month,Rice,Filling station,Gas cylinder,Textile,iPhone,Meter,Food,Mental health,Water,Cylinder,Price,Code,Jollof rice,Liter,Pressure,Oil,Emergency telephone number,Drug,Fee,Gambling,Mixture,Gas stove,Food prices,Soup,Kitchen stove,Passport,Cooking,Stove,Charcoal,Rate,Liquid,State,Cost of living,Nigerian cuisine,Gas,Personal identification number,Savings,Cost,Outdoor recreation,Electricity,Clothing,Leisure,Pump,Kerosene heater,Rent,Health,Goods,School,Infinix,Inflation rate,Health care,Temperature,Refurbishment,Fried rice,Investment,Petroleum industry,Flight,Data,Gasoline,Cook,Footwear,Abuja,Bharti Airtel,Electricity meter,Emergency contraception,used,Hyperinflation,Credit,Public health,Recreation,Emergency,Kerosene,Health education,Fuel,Dance,Wealth,Business,Samsung,Sports betting,Printing,Fare,MTN Group,Tecno,Lagos,China,Inflation,Globacom Limited,cheap,Airplane,Deflation,Borehole,State of emergency,Used good,Drinking water,Rechargeable calling card,Tuition payments,Do it yourself,Made In China,Technology,Diesel fuel,Emergency management,Budget,Shoes,Car,Economy,Immigration,University,Import,Health insurance,Ideal gas law,Management,Industry,Unemployment,Natural environment,Monetary policy,Samsung Galaxy,Policy,Drill,Economics,Petroleum,Data plan,Toyota,Tourism,Recipe,Natural gas,Emirates Telecom,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,Year-on-Year Change (%)
Oct '12,12.0,14.0,13.5,34.0,21.0,24.0,51.0,28.0,50.0,21.0,28.0,32.0,13.0,22.0,46.0,48.0,0.0,43.0,49.0,1.0,59.0,28.0,0.0,22.0,35.0,29.0,23.0,29.0,44.0,24.0,55.0,35.0,48.0,32.0,43.0,18.0,55.0,70.0,0.0,49.0,51.0,20.0,55.0,0.0,51.0,72.0,50.0,58.0,0.0,42.0,66.0,32.9,36.0,18.0,25.0,18.0,46.0,42.0,29.0,12.0,37.0,51.1,44.0,39.0,47.0,54.0,0.0,63.0,41.0,53.0,14.0,43.0,76.0,4.0,36.0,16.0,71.0,67.6,3.0,36.0,43.0,58.0,7.0,62.0,38.0,66.0,46.0,62.0,11.0,0.0,44.0,0.0,17.0,37.0,81.0,33.3,31.0,33.0,71.3,51.0,37.0,59.5,60.0,60.0,67.0,11.0,43.0,61.0,23.0,51.0,58.0,70.0,71.0,64.0,63.2,69.0,62.0,60.0,51.0,51.0,32.0,67.8,63.0,39.0,46.0,64.6,11.252990731920832,11.689272346301578,12.796876731112206,12.891980921908797,12.688297513444653,12.86566161133969,12.110898601245552,11.865685986505454,12.62596924006003,10.283025958087478,10.540005105306475,10.544448402559452,11.6933767622009
Nov '12,12.0,17.0,14.6,29.0,21.0,26.0,47.0,27.0,47.0,23.0,30.0,31.0,8.0,25.0,47.0,52.0,0.0,40.0,46.0,1.0,55.0,30.0,0.0,24.0,36.0,27.0,23.0,28.0,37.0,24.0,56.0,37.0,48.0,30.0,41.0,17.0,60.0,74.0,0.0,45.0,49.0,22.0,67.0,0.0,45.0,74.0,52.0,57.0,0.0,28.0,78.0,40.9,48.0,20.0,25.0,19.0,46.0,39.0,25.0,14.0,60.0,56.8,45.0,36.0,0.0,56.0,0.0,64.0,50.0,70.0,13.0,41.0,69.0,5.0,34.0,16.0,69.0,69.6,3.0,34.0,40.0,56.0,9.0,66.0,38.0,53.0,41.0,58.0,9.0,30.0,43.0,0.0,21.0,48.0,76.0,30.0,31.0,36.0,64.3,50.0,55.0,47.9,65.0,60.0,60.0,12.0,43.0,61.0,22.0,47.0,61.0,64.0,63.0,67.0,47.4,84.0,61.0,60.0,52.0,53.0,34.0,72.8,62.0,41.0,50.0,60.7,11.6933767622009,11.252990731920832,11.689272346301578,12.796876731112206,12.891980921908797,12.688297513444653,12.86566161133969,12.110898601245552,11.865685986505454,12.62596924006003,10.283025958087478,10.540005105306475,12.320069420943057
Dec '12,11.0,21.0,0.0,30.0,23.0,21.0,41.0,19.0,38.0,15.0,29.0,32.0,13.0,20.0,41.0,43.0,0.0,34.0,38.0,1.0,38.0,26.0,0.0,19.0,35.0,26.0,24.0,25.0,23.0,21.0,42.0,26.0,43.0,21.0,34.0,18.0,42.0,61.0,0.0,37.0,48.0,14.0,61.0,0.0,44.0,61.0,44.0,51.0,0.0,26.0,53.0,30.9,32.0,35.0,24.0,11.0,46.0,40.0,26.0,9.0,55.0,49.2,42.0,45.0,0.0,46.0,0.0,61.0,40.0,37.0,12.0,31.0,44.0,4.0,36.0,15.0,55.0,81.1,3.0,33.0,39.0,57.0,14.0,63.0,36.0,46.0,46.0,56.0,13.0,31.0,45.0,0.0,12.0,24.0,72.0,25.6,26.0,34.0,54.3,42.0,36.0,44.1,66.0,62.0,47.0,13.0,37.0,56.0,15.0,31.0,49.0,52.0,48.0,53.0,38.5,87.0,48.0,59.0,44.0,42.0,38.0,69.8,59.0,39.0,44.0,66.5,12.320069420943057,11.6933767622009,11.252990731920832,11.689272346301578,12.796876731112206,12.891980921908797,12.688297513444653,12.86566161133969,12.110898601245552,11.865685986505454,12.62596924006003,10.283025958087478,11.981084477377024
Jan '13,11.0,22.0,14.6,29.0,24.0,25.0,44.0,26.0,49.0,22.0,31.0,31.0,8.0,25.0,51.0,48.0,0.0,40.0,40.0,1.0,42.0,29.0,0.0,22.0,36.0,27.0,22.0,25.0,42.0,26.0,61.0,32.0,36.0,30.0,45.0,18.0,54.0,70.0,0.0,51.0,51.0,16.0,71.0,0.0,55.0,71.0,52.0,60.0,0.0,41.0,65.0,41.9,42.0,18.0,25.0,17.0,47.0,43.0,29.0,12.0,65.0,50.1,45.0,0.0,0.0,49.0,0.0,66.0,48.0,76.0,14.0,50.0,73.0,4.0,34.0,14.0,72.0,73.8,3.0,37.0,39.0,46.0,18.0,66.0,40.0,47.0,46.0,65.0,7.0,14.0,52.0,0.0,14.0,32.0,79.0,31.1,28.0,0.0,61.3,68.0,39.0,48.9,61.0,73.0,55.0,18.0,41.0,70.0,22.0,77.0,58.0,64.0,57.0,61.0,41.5,82.0,53.0,70.0,53.0,49.0,39.0,84.8,62.0,38.0,55.0,60.7,11.981084477377024,12.320069420943057,11.6933767622009,11.252990731920832,11.689272346301578,12.796876731112206,12.891980921908797,12.688297513444653,12.86566161133969,12.110898601245552,11.865685986505454,12.62596924006003,9.03122809678463
Feb '13,12.0,19.0,14.6,34.0,22.0,30.0,52.0,31.0,57.0,29.0,33.0,32.0,11.0,24.0,54.0,54.0,0.0,44.0,34.0,1.0,58.0,22.0,0.0,24.0,30.0,31.0,25.0,26.0,48.0,28.0,68.0,37.0,38.0,30.0,51.0,17.0,63.0,79.0,0.0,55.0,53.0,24.0,77.0,0.0,60.0,75.0,70.0,56.0,1.0,53.0,68.0,48.9,27.0,20.0,27.0,18.0,48.0,45.0,27.0,11.0,52.0,56.8,49.0,40.0,0.0,55.0,0.0,69.0,51.0,100.0,13.0,54.0,70.0,4.0,34.0,15.0,76.0,74.8,3.0,37.0,48.0,51.0,21.0,69.0,38.0,63.0,46.0,60.0,6.0,28.0,43.0,0.0,17.0,48.0,77.0,23.3,30.0,0.0,72.3,81.0,52.0,61.4,64.0,67.0,67.0,14.0,33.0,72.0,24.0,88.0,71.0,76.0,88.0,76.0,53.3,83.0,75.0,89.0,60.0,52.0,44.0,77.8,69.0,42.0,60.0,60.7,9.03122809678463,11.981084477377024,12.320069420943057,11.6933767622009,11.252990731920832,11.689272346301578,12.796876731112206,12.891980921908797,12.688297513444653,12.86566161133969,12.110898601245552,11.865685986505454,9.541969032435489
Mar '13,12.0,21.0,9.0,32.0,21.0,26.0,48.0,25.0,52.0,26.0,31.0,33.0,13.0,26.0,58.0,55.0,0.0,39.0,29.0,1.0,57.0,32.0,0.0,23.0,29.0,28.0,23.0,27.0,37.0,27.0,67.0,35.0,57.0,29.0,49.0,19.0,59.0,75.0,0.0,49.0,50.0,19.0,68.0,0.0,57.0,70.0,67.0,54.0,4.0,42.0,73.0,42.9,40.0,24.0,26.0,16.0,52.0,49.0,26.0,14.0,45.0,51.1,50.0,44.0,0.0,60.0,0.0,74.0,49.0,66.0,13.0,42.0,57.0,4.0,33.0,15.0,77.0,83.2,3.0,35.0,50.0,56.0,27.0,67.0,46.0,61.0,44.0,63.0,7.0,22.0,52.0,0.0,15.0,36.0,71.0,24.5,30.0,32.0,62.3,64.0,45.0,51.8,64.0,68.0,63.0,11.0,30.0,66.0,20.0,73.0,65.0,71.0,63.0,72.0,57.3,100.0,69.0,77.0,55.0,48.0,44.0,77.8,65.0,42.0,58.0,60.7,9.541969032435489,9.03122809678463,11.981084477377024,12.320069420943057,11.6933767622009,11.252990731920832,11.689272346301578,12.796876731112206,12.891980921908797,12.688297513444653,12.86566161133969,12.110898601245552,8.59327988836786
Apr '13,11.0,19.0,7.9,31.0,21.0,27.0,48.0,26.0,50.0,26.0,32.0,34.0,13.0,27.0,54.0,52.0,0.0,39.0,33.0,1.0,49.0,23.0,0.0,23.0,34.0,31.0,24.0,38.0,51.0,26.0,78.0,31.0,40.0,24.0,59.0,18.0,56.0,75.0,0.0,50.0,51.0,20.0,70.0,0.0,51.0,78.0,60.0,57.0,7.0,49.0,66.0,40.9,43.0,23.0,27.0,18.0,47.0,49.0,26.0,15.0,50.0,48.2,55.0,0.0,36.0,63.0,100.0,77.0,46.0,58.0,14.0,48.0,72.0,4.0,35.0,15.0,73.0,82.1,4.0,35.0,35.0,70.0,37.0,68.0,39.0,81.0,47.0,64.0,6.0,19.0,42.0,0.0,18.0,31.0,87.0,24.5,31.0,27.0,61.3,66.0,45.0,40.3,63.0,66.0,66.0,11.0,31.0,65.0,21.0,100.0,60.0,72.0,57.0,64.0,50.4,85.0,69.0,69.0,64.0,47.0,48.0,73.8,59.0,38.0,54.0,66.5,8.59327988836786,9.541969032435489,9.03122809678463,11.981084477377024,12.320069420943057,11.6933767622009,11.252990731920832,11.689272346301578,12.796876731112206,12.891980921908797,12.688297513444653,12.86566161133969,9.051524170137055
May '13,11.0,16.0,6.7,30.0,20.0,26.0,49.0,29.0,49.0,27.0,32.0,32.0,10.0,26.0,46.0,49.0,0.0,42.0,45.0,1.0,35.0,21.0,0.0,26.0,38.0,28.0,24.0,40.0,36.0,25.0,63.0,45.0,50.0,28.0,42.0,20.0,64.0,68.0,0.0,52.0,50.0,23.0,64.0,0.0,51.0,77.0,57.0,63.0,8.0,31.0,59.0,36.9,36.0,20.0,26.0,14.0,46.0,49.0,24.0,14.0,46.0,50.1,50.0,54.0,46.0,62.0,0.0,68.0,47.0,63.0,100.0,65.0,56.0,3.0,36.0,14.0,65.0,81.1,4.0,36.0,39.0,71.0,46.0,60.0,39.0,62.0,48.0,64.0,7.0,16.0,40.0,100.0,16.0,30.0,73.0,33.3,32.0,29.0,56.3,49.0,40.0,32.6,59.0,65.0,58.0,10.0,44.0,60.0,20.0,61.0,56.0,57.0,59.0,64.0,44.4,76.0,60.0,67.0,45.0,43.0,49.0,70.8,57.0,38.0,48.0,71.4,9.051524170137055,8.59327988836786,9.541969032435489,9.03122809678463,11.981084477377024,12.320069420943057,11.6933767622009,11.252990731920832,11.689272346301578,12.796876731112206,12.891980921908797,12.688297513444653,8.963892210305005
Jun '13,12.0,29.0,13.5,33.0,21.0,23.0,47.0,27.0,48.0,31.0,34.0,34.0,16.0,25.0,45.0,47.0,0.0,41.0,37.0,1.0,45.0,26.0,0.0,23.0,33.0,30.0,24.0,27.0,29.0,27.0,60.0,36.0,49.0,32.0,44.0,19.0,63.0,75.0,0.0,63.0,50.0,19.0,62.0,0.0,48.0,76.0,60.0,63.0,8.0,46.0,55.0,35.9,36.0,18.0,25.0,13.0,49.0,52.0,29.0,14.0,33.0,55.8,60.0,42.0,0.0,63.0,0.0,77.0,42.0,52.0,28.0,43.0,59.0,3.0,40.0,14.0,62.0,87.3,3.0,34.0,39.0,76.0,66.0,65.0,37.0,77.0,46.0,67.0,9.0,61.0,37.0,20.0,23.0,30.0,87.0,28.9,36.0,26.0,59.3,44.0,39.0,33.6,65.0,70.0,59.0,13.0,41.0,68.0,21.0,47.0,53.0,59.0,65.0,66.0,46.4,83.0,62.0,66.0,49.0,45.0,53.0,75.8,57.0,37.0,53.0,84.9,8.963892210305005,9.051524170137055,8.59327988836786,9.541969032435489,9.03122809678463,11.981084477377024,12.320069420943057,11.6933767622009,11.252990731920832,11.689272346301578,12.796876731112206,12.891980921908797,8.353156270755477
Jul '13,11.0,20.0,11.2,29.0,22.0,24.0,43.0,18.0,41.0,17.0,37.0,37.0,12.0,23.0,41.0,52.0,0.0,37.0,39.0,1.0,46.0,29.0,0.0,25.0,39.0,29.0,22.0,26.0,29.0,25.0,51.0,28.0,27.0,27.0,35.0,20.0,47.0,62.0,0.0,62.0,48.0,17.0,57.0,0.0,54.0,67.0,44.0,61.0,9.0,28.0,49.0,30.9,49.0,20.0,22.0,13.0,54.0,61.0,28.0,11.0,50.0,55.8,74.0,32.0,28.0,51.0,0.0,70.0,38.0,41.0,19.0,55.0,45.0,3.0,35.0,14.0,59.0,93.6,2.0,35.0,46.0,97.0,76.0,66.0,38.0,55.0,49.0,72.0,7.0,17.0,30.0,9.0,23.0,76.0,94.0,30.0,34.0,23.0,53.2,47.0,44.0,27.8,68.0,70.0,44.0,11.0,43.0,63.0,22.0,45.0,46.0,51.0,43.0,44.0,34.6,92.0,48.0,75.0,36.0,42.0,70.0,72.8,84.0,40.0,51.0,95.5,8.353156270755477,8.963892210305005,9.051524170137055,8.59327988836786,9.541969032435489,9.03122809678463,11.981084477377024,12.320069420943057,11.6933767622009,11.252990731920832,11.689272346301578,12.796876731112206,8.682261186275795
Aug '13,10.0,15.0,13.5,29.0,19.0,23.0,40.0,17.0,33.0,18.0,34.0,35.0,12.0,19.0,44.0,43.0,0.0,34.0,40.0,1.0,37.0,23.0,0.0,27.0,40.0,28.0,23.0,39.0,27.0,22.0,44.0,24.0,41.0,28.0,32.0,19.0,42.0,59.0,0.0,47.0,50.0,15.0,56.0,0.0,50.0,65.0,44.0,56.0,9.0,24.0,38.0,25.9,40.0,20.0,19.0,10.0,54.0,60.0,21.0,15.0,44.0,53.9,73.0,0.0,24.0,51.0,0.0,68.0,31.0,33.0,15.0,42.0,47.0,2.0,38.0,13.0,56.0,95.6,4.0,31.0,52.0,89.0,77.0,68.0,38.0,41.0,54.0,78.0,9.0,0.0,37.0,5.0,14.0,23.0,91.0,30.0,36.0,28.0,50.2,46.0,33.0,25.9,68.0,67.0,32.0,9.0,39.0,58.0,21.0,33.0,45.0,46.0,38.0,44.0,30.6,84.0,39.0,60.0,32.0,37.0,68.0,70.8,46.0,40.0,43.0,84.9,8.682261186275795,8.353156270755477,8.963892210305005,9.051524170137055,8.59327988836786,9.541969032435489,9.03122809678463,11.981084477377024,12.320069420943057,11.6933767622009,11.252990731920832,11.689272346301578,8.230815778301448
Sep '13,11.0,13.0,14.6,36.0,33.0,24.0,45.0,18.0,39.0,15.0,36.0,35.0,12.0,24.0,38.0,46.0,0.0,36.0,44.0,1.0,44.0,37.0,0.0,26.0,38.0,29.0,24.0,33.0,33.0,25.0,49.0,26.0,44.0,29.0,34.0,21.0,40.0,62.0,0.0,43.0,53.0,12.0,63.0,0.0,50.0,63.0,46.0,60.0,11.0,22.0,43.0,27.9,23.0,27.0,22.0,10.0,51.0,60.0,25.0,16.0,45.0,61.5,64.0,27.0,29.0,56.0,0.0,69.0,34.0,34.0,12.0,37.0,54.0,3.0,45.0,13.0,58.0,95.6,4.0,33.0,44.0,73.0,78.0,64.0,37.0,43.0,54.0,75.0,8.0,14.0,31.0,3.0,13.0,34.0,79.0,32.2,35.0,34.0,52.2,45.0,31.0,24.0,72.0,70.0,42.0,100.0,36.0,59.0,20.0,23.0,45.0,52.0,42.0,45.0,27.7,83.0,39.0,64.0,34.0,38.0,69.0,78.8,52.0,40.0,49.0,82.9,8.230815778301448,8.682261186275795,8.353156270755477,8.963892210305005,9.051524170137055,8.59327988836786,9.541969032435489,9.03122809678463,11.981084477377024,12.320069420943057,11.6933767622009,11.252990731920832,7.951913585277822
Oct '13,11.0,14.0,14.6,32.0,27.0,25.0,46.0,21.0,38.0,20.0,36.0,34.0,15.0,23.0,42.0,44.0,0.0,40.0,44.0,1.0,55.0,35.0,0.0,30.0,45.0,26.0,25.0,48.0,33.0,26.0,45.0,30.0,45.0,35.0,36.0,28.0,50.0,61.0,0.0,42.0,55.0,16.0,60.0,0.0,44.0,66.0,52.0,55.0,12.0,30.0,46.0,30.9,34.0,28.0,19.0,10.0,54.0,64.0,24.0,16.0,41.0,56.8,72.0,0.0,35.0,54.0,0.0,72.0,36.0,45.0,13.0,51.0,69.0,3.0,45.0,15.0,58.0,98.8,5.0,32.0,52.0,74.0,88.0,81.0,37.0,38.0,54.0,72.0,73.0,16.0,36.0,2.0,20.0,47.0,86.0,31.1,39.0,22.0,50.2,53.0,29.0,25.9,69.0,70.0,43.0,80.0,32.0,65.0,19.0,39.0,42.0,50.0,44.0,44.0,21.7,86.0,36.0,65.0,35.0,38.0,73.0,68.8,57.0,43.0,48.0,79.1,7.951913585277822,8.230815778301448,8.682261186275795,8.353156270755477,8.963892210305005,9.051524170137055,8.59327988836786,9.541969032435489,9.03122809678463,11.981084477377024,12.320069420943057,11.6933767622009,7.807248521544395
Nov '13,12.0,16.0,6.7,32.0,24.0,27.0,44.0,20.0,41.0,17.0,39.0,34.0,18.0,26.0,45.0,47.0,0.0,40.0,45.0,1.0,49.0,39.0,0.0,30.0,41.0,29.0,25.0,33.0,35.0,23.0,52.0,29.0,45.0,32.0,35.0,32.0,51.0,65.0,0.0,44.0,56.0,15.0,57.0,0.0,44.0,66.0,48.0,52.0,13.0,24.0,50.0,31.9,27.0,24.0,18.0,10.0,54.0,77.0,23.0,18.0,51.0,58.7,69.0,38.0,28.0,50.0,0.0,68.0,35.0,50.0,14.0,50.0,59.0,3.0,41.0,14.0,59.0,99.8,6.0,35.0,39.0,73.0,100.0,69.0,37.0,39.0,59.0,74.0,8.0,40.0,36.0,5.0,18.0,31.0,69.0,31.1,39.0,15.0,52.2,49.0,23.0,27.8,71.0,71.0,36.0,32.0,32.0,69.0,19.0,37.0,42.0,47.0,46.0,43.0,26.7,91.0,36.0,60.0,35.0,38.0,82.0,74.8,57.0,43.0,48.0,75.2,7.807248521544395,7.951913585277822,8.230815778301448,8.682261186275795,8.353156270755477,8.963892210305005,9.051524170137055,8.59327988836786,9.541969032435489,9.03122809678463,11.981084477377024,12.320069420943057,7.931397267546615
Dec '13,12.0,27.0,12.4,30.0,28.0,22.0,41.0,17.0,35.0,15.0,42.0,30.0,20.0,28.0,38.0,34.0,0.0,29.0,36.0,1.0,30.0,32.0,68.0,36.0,44.0,26.0,38.0,42.0,23.0,21.0,44.0,18.0,29.0,26.0,29.0,44.0,45.0,54.0,46.0,33.0,68.0,23.0,51.0,0.0,63.0,44.0,32.0,44.0,10.0,22.0,34.0,47.9,31.0,51.0,15.0,5.0,52.0,60.0,25.0,18.0,74.0,39.7,57.0,41.0,95.0,42.0,0.0,69.0,23.0,31.0,13.0,35.0,22.0,2.0,53.0,11.0,40.0,93.6,5.0,24.0,73.0,59.0,67.0,50.0,29.0,27.0,42.0,78.0,8.0,10.0,19.0,1.0,84.0,20.0,57.0,23.3,41.0,15.0,28.1,56.0,16.0,25.9,80.0,79.0,22.0,13.0,25.0,49.0,14.0,29.0,27.0,29.0,28.0,26.0,15.8,99.0,24.0,45.0,20.0,24.0,76.0,61.8,43.0,100.0,31.0,71.4,7.931397267546615,7.807248521544395,7.951913585277822,8.230815778301448,8.682261186275795,8.353156270755477,8.963892210305005,9.051524170137055,8.59327988836786,9.541969032435489,9.03122809678463,11.981084477377024,7.956880784733585
Jan '14,13.0,25.0,15.7,32.0,25.0,28.0,51.0,23.0,47.0,20.0,43.0,30.0,16.0,29.0,49.0,39.0,0.0,34.0,40.0,1.0,42.0,29.0,0.0,36.0,51.0,33.0,36.0,44.0,31.0,24.0,52.0,21.0,35.0,28.0,37.0,45.0,61.0,61.0,39.0,40.0,67.0,29.0,57.0,0.0,84.0,59.0,43.0,61.0,8.0,25.0,40.0,57.9,27.0,26.0,16.0,9.0,50.0,57.0,29.0,17.0,62.0,42.6,53.0,35.0,100.0,48.0,0.0,69.0,33.0,52.0,14.0,37.0,40.0,2.0,44.0,12.0,51.0,84.2,5.0,30.0,73.0,50.0,50.0,52.0,29.0,35.0,42.0,76.0,7.0,10.0,27.0,3.0,100.0,100.0,55.0,25.6,37.0,14.0,37.2,63.0,22.0,39.3,76.0,86.0,32.0,13.0,29.0,55.0,17.0,41.0,38.0,35.0,47.0,40.0,27.7,87.0,37.0,56.0,31.0,29.0,69.0,74.8,49.0,86.0,36.0,57.9,7.956880784733585,7.931397267546615,7.807248521544395,7.951913585277822,8.230815778301448,8.682261186275795,8.353156270755477,8.963892210305005,9.051524170137055,8.59327988836786,9.541969032435489,9.03122809678463,7.976545095034936
Feb '14,13.0,29.0,13.5,34.0,23.0,30.0,57.0,32.0,53.0,22.0,42.0,31.0,15.0,31.0,59.0,43.0,0.0,39.0,37.0,1.0,49.0,29.0,0.0,37.0,45.0,34.0,34.0,48.0,33.0,25.0,58.0,26.0,30.0,24.0,42.0,43.0,62.0,65.0,84.0,47.0,62.0,34.0,58.0,0.0,80.0,64.0,52.0,56.0,6.0,37.0,44.0,52.9,34.0,23.0,19.0,10.0,46.0,62.0,33.0,18.0,69.0,50.1,50.0,39.0,73.0,53.0,0.0,69.0,33.0,65.0,18.0,68.0,41.0,3.0,45.0,14.0,55.0,82.1,6.0,29.0,71.0,52.0,44.0,56.0,28.0,52.0,40.0,74.0,8.0,15.0,37.0,3.0,100.0,34.0,59.0,22.2,38.0,12.0,41.2,64.0,32.0,42.2,77.0,81.0,42.0,11.0,24.0,57.0,19.0,41.0,41.0,44.0,55.0,50.0,38.5,84.0,48.0,76.0,39.0,31.0,65.0,66.8,65.0,79.0,39.0,56.9,7.976545095034936,7.956880784733585,7.931397267546615,7.807248521544395,7.951913585277822,8.230815778301448,8.682261186275795,8.353156270755477,8.963892210305005,9.051524170137055,8.59327988836786,9.541969032435489,7.707050814205175
Mar '14,13.0,30.0,13.5,32.0,21.0,31.0,51.0,28.0,53.0,25.0,41.0,29.0,16.0,34.0,53.0,43.0,0.0,35.0,31.0,1.0,48.0,31.0,49.0,36.0,47.0,37.0,34.0,43.0,33.0,25.0,59.0,23.0,39.0,30.0,44.0,42.0,60.0,62.0,58.0,43.0,64.0,31.0,66.0,0.0,71.0,61.0,45.0,54.0,8.0,37.0,48.0,49.9,26.0,23.0,18.0,8.0,67.0,59.0,31.0,19.0,60.0,49.2,49.0,42.0,87.0,53.0,0.0,72.0,32.0,52.0,17.0,47.0,37.0,5.0,47.0,12.0,51.0,83.2,6.0,30.0,67.0,49.0,41.0,56.0,30.0,47.0,37.0,71.0,52.0,13.0,33.0,2.0,96.0,31.0,54.0,21.1,38.0,13.0,38.2,64.0,36.0,37.4,75.0,77.0,38.0,66.0,22.0,58.0,20.0,55.0,40.0,41.0,66.0,45.0,36.5,82.0,41.0,64.0,36.0,29.0,70.0,65.8,62.0,81.0,38.0,59.8,7.707050814205175,7.976545095034936,7.956880784733585,7.931397267546615,7.807248521544395,7.951913585277822,8.230815778301448,8.682261186275795,8.353156270755477,8.963892210305005,9.051524170137055,8.59327988836786,7.783373663267
Apr '14,12.0,23.0,12.4,34.0,21.0,29.0,46.0,24.0,47.0,21.0,43.0,31.0,16.0,29.0,53.0,43.0,0.0,33.0,35.0,1.0,36.0,30.0,0.0,35.0,44.0,33.0,34.0,33.0,53.0,25.0,51.0,21.0,33.0,22.0,43.0,50.0,54.0,57.0,40.0,48.0,61.0,30.0,62.0,0.0,71.0,60.0,44.0,53.0,7.0,15.0,43.0,46.9,32.0,28.0,17.0,8.0,61.0,64.0,27.0,15.0,53.0,88.0,53.0,29.0,97.0,53.0,0.0,82.0,33.0,53.0,16.0,34.0,36.0,3.0,56.0,12.0,47.0,82.1,6.0,29.0,71.0,52.0,41.0,57.0,27.0,37.0,49.0,73.0,23.0,10.0,27.0,4.0,84.0,50.0,52.0,21.1,38.0,19.0,38.2,64.0,27.0,29.7,81.0,77.0,39.0,11.0,25.0,56.0,19.0,45.0,37.0,44.0,50.0,40.0,28.6,85.0,37.0,60.0,35.0,28.0,83.0,67.8,52.0,75.0,36.0,63.6,7.783373663267,7.707050814205175,7.976545095034936,7.956880784733585,7.931397267546615,7.807248521544395,7.951913585277822,8.230815778301448,8.682261186275795,8.353156270755477,8.963892210305005,9.051524170137055,7.851235117535936
May '14,13.0,21.0,12.4,36.0,19.0,32.0,54.0,24.0,52.0,31.0,42.0,34.0,20.0,31.0,53.0,49.0,0.0,39.0,46.0,1.0,49.0,33.0,0.0,38.0,47.0,31.0,32.0,38.0,43.0,28.0,60.0,28.0,39.0,30.0,40.0,35.0,65.0,61.0,0.0,53.0,60.0,21.0,65.0,0.0,62.0,69.0,48.0,68.0,7.0,31.0,48.0,40.9,40.0,24.0,21.0,10.0,54.0,79.0,27.0,21.0,47.0,85.1,59.0,34.0,56.0,60.0,0.0,78.0,36.0,56.0,21.0,45.0,58.0,3.0,53.0,14.0,57.0,76.9,5.0,32.0,54.0,59.0,54.0,64.0,34.0,49.0,60.0,75.0,12.0,19.0,44.0,8.0,46.0,43.0,65.0,25.6,41.0,24.0,50.2,56.0,26.0,36.4,86.0,69.0,45.0,11.0,30.0,61.0,22.0,68.0,44.0,47.0,51.0,49.0,36.5,71.0,51.0,65.0,36.0,35.0,100.0,70.8,66.0,61.0,41.0,75.2,7.851235117535936,7.783373663267,7.707050814205175,7.976545095034936,7.956880784733585,7.931397267546615,7.807248521544395,7.951913585277822,8.230815778301448,8.682261186275795,8.353156270755477,8.963892210305005,7.964587781397682
Jun '14,13.0,25.0,13.5,35.0,18.0,29.0,50.0,21.0,47.0,29.0,41.0,34.0,19.0,31.0,47.0,44.0,0.0,39.0,43.0,1.0,36.0,36.0,0.0,35.0,54.0,39.0,32.0,45.0,41.0,27.0,53.0,24.0,53.0,32.0,39.0,34.0,63.0,64.0,0.0,48.0,60.0,25.0,61.0,0.0,65.0,68.0,46.0,60.0,6.0,22.0,48.0,41.9,22.0,23.0,19.0,9.0,53.0,66.0,27.0,21.0,58.0,73.8,57.0,100.0,70.0,54.0,0.0,77.0,33.0,52.0,14.0,49.0,50.0,3.0,53.0,11.0,52.0,75.9,5.0,29.0,69.0,54.0,58.0,64.0,33.0,49.0,50.0,77.0,10.0,28.0,28.0,3.0,60.0,35.0,55.0,27.8,45.0,0.0,42.2,58.0,30.0,30.7,77.0,67.0,40.0,9.0,31.0,55.0,22.0,42.0,41.0,42.0,48.0,46.0,32.6,71.0,47.0,62.0,32.0,32.0,82.0,61.8,55.0,65.0,42.0,69.4,7.964587781397682,7.851235117535936,7.783373663267,7.707050814205175,7.976545095034936,7.956880784733585,7.931397267546615,7.807248521544395,7.951913585277822,8.230815778301448,8.682261186275795,8.353156270755477,8.166670551873764
